float,row_key,quantity,value_paper,digits
supplementary_table_1,Margin | Vote margin less than 3pp | Full adjustment set,estimate,-0.001,3
supplementary_table_1,Margin | Vote margin less than 3pp | Full adjustment set,p_value,0.625,3
supplementary_table_1,Margin | Vote margin less than 3pp | Full adjustment set,se,0.002,3
supplementary_table_1,Margin | Vote margin less than 3pp | Full adjustment set,t,-0.488,3
supplementary_table_1,Margin | Vote margin less than 3pp | PAP adjustment set,ci_lower,-0.004,3
supplementary_table_1,Margin | Vote margin less than 3pp | PAP adjustment set,ci_upper,0.002,3
supplementary_table_1,Margin | Vote margin less than 3pp | PAP adjustment set,df,1337052,0
supplementary_table_1,Margin | Vote margin less than 3pp | PAP adjustment set,estimate,-0.001,3
supplementary_table_1,Margin | Vote margin less than 3pp | PAP adjustment set,p_value,0.587,3
supplementary_table_1,Margin | Vote margin less than 3pp | PAP adjustment set,se,0.002,3
supplementary_table_1,Margin | Vote margin less than 3pp | PAP adjustment set,t,-0.543,3
supplementary_table_1,Margin | Vote margin less than 3pp | Unadjusted,ci_lower,-0.004,3
supplementary_table_1,Margin | Vote margin less than 3pp | Unadjusted,ci_upper,0.003,3
supplementary_table_1,Margin | Vote margin less than 3pp | Unadjusted,df,1337055,0
supplementary_table_1,Margin | Vote margin less than 3pp | Unadjusted,estimate,0.000,3
supplementary_table_1,Margin | Vote margin less than 3pp | Unadjusted,p_value,0.942,3
supplementary_table_1,Margin | Vote margin less than 3pp | Unadjusted,se,0.002,3
supplementary_table_1,Margin | Vote margin less than 3pp | Unadjusted,t,-0.073,3
supplementary_table_1,Margin | Vote margin more than 3pp | Full adjustment set,ci_lower,-0.004,3
supplementary_table_1,Margin | Vote margin more than 3pp | Full adjustment set,ci_upper,0.004,3
supplementary_table_1,Margin | Vote margin more than 3pp | Full adjustment set,df,662191,0
supplementary_table_1,Margin | Vote margin more than 3pp | Full adjustment set,estimate,0.000,3
supplementary_table_1,Margin | Vote margin more than 3pp | Full adjustment set,p_value,0.985,3
supplementary_table_1,Margin | Vote margin more than 3pp | Full adjustment set,se,0.002,3
supplementary_table_1,Margin | Vote margin more than 3pp | Full adjustment set,t,-0.019,3
supplementary_table_1,Margin | Vote margin more than 3pp | PAP adjustment set,ci_lower,-0.004,3
supplementary_table_1,Margin | Vote margin more than 3pp | PAP adjustment set,ci_upper,0.004,3
supplementary_table_1,Margin | Vote margin more than 3pp | PAP adjustment set,df,662220,0
supplementary_table_1,Margin | Vote margin more than 3pp | PAP adjustment set,estimate,0.000,3
supplementary_table_1,Margin | Vote margin more than 3pp | PAP adjustment set,p_value,0.924,3
supplementary_table_1,Margin | Vote margin more than 3pp | PAP adjustment set,se,0.002,3
supplementary_table_1,Margin | Vote margin more than 3pp | PAP adjustment set,t,-0.096,3
supplementary_table_1,Margin | Vote margin more than 3pp | Unadjusted,ci_lower,-0.005,3
supplementary_table_1,Margin | Vote margin more than 3pp | Unadjusted,ci_upper,0.004,3
supplementary_table_1,Margin | Vote margin more than 3pp | Unadjusted,df,662223,0
supplementary_table_1,Margin | Vote margin more than 3pp | Unadjusted,estimate,-0.001,3
supplementary_table_1,Margin | Vote margin more than 3pp | Unadjusted,p_value,0.757,3
supplementary_table_1,Margin | Vote margin more than 3pp | Unadjusted,se,0.002,3
supplementary_table_1,Margin | Vote margin more than 3pp | Unadjusted,t,-0.310,3
supplementary_table_1,Partisanship | Democrat | Full adjustment set,ci_lower,-0.003,3
supplementary_table_1,Partisanship | Democrat | Full adjustment set,ci_upper,0.016,3
supplementary_table_1,Partisanship | Democrat | Full adjustment set,df,182914,0
supplementary_table_1,Partisanship | Democrat | Full adjustment set,estimate,0.007,3
supplementary_table_1,Partisanship | Democrat | Full adjustment set,p_value,0.157,3
supplementary_table_1,Partisanship | Democrat | Full adjustment set,se,0.005,3
supplementary_table_1,Partisanship | Democrat | Full adjustment set,t,1.416,3
supplementary_table_1,Partisanship | Democrat | PAP adjustment set,ci_lower,-0.002,3
supplementary_table_1,Partisanship | Democrat | PAP adjustment set,ci_upper,0.017,3
supplementary_table_1,Partisanship | Democrat | PAP adjustment set,df,182940,0
supplementary_table_1,Partisanship | Democrat | PAP adjustment set,estimate,0.008,3
supplementary_table_1,Partisanship | Democrat | PAP adjustment set,p_value,0.113,3
supplementary_table_1,Partisanship | Democrat | PAP adjustment set,se,0.005,3
supplementary_table_1,Partisanship | Democrat | PAP adjustment set,t,1.585,3
supplementary_table_1,Partisanship | Democrat | Unadjusted,ci_lower,-0.006,3
supplementary_table_1,Partisanship | Democrat | Unadjusted,ci_upper,0.016,3
supplementary_table_1,Partisanship | Democrat | Unadjusted,df,182943,0
supplementary_table_1,Partisanship | Democrat | Unadjusted,estimate,0.005,3
supplementary_table_1,Partisanship | Democrat | Unadjusted,p_value,0.348,3
supplementary_table_1,Partisanship | Democrat | Unadjusted,se,0.006,3
supplementary_table_1,Partisanship | Democrat | Unadjusted,t,0.939,3
supplementary_table_1,Partisanship | Other | Full adjustment set,ci_lower,-0.006,3
supplementary_table_1,Partisanship | Other | Full adjustment set,ci_upper,0.006,3
supplementary_table_1,Partisanship | Other | Full adjustment set,df,302360,0
supplementary_table_1,Partisanship | Other | Full adjustment set,estimate,0.000,3
supplementary_table_1,Partisanship | Other | Full adjustment set,p_value,0.970,3
supplementary_table_1,Partisanship | Other | Full adjustment set,se,0.003,3
supplementary_table_1,Partisanship | Other | Full adjustment set,t,0.037,3
supplementary_table_1,Partisanship | Other | PAP adjustment set,ci_lower,-0.006,3
supplementary_table_1,Partisanship | Other | PAP adjustment set,ci_upper,0.006,3
supplementary_table_1,Partisanship | Other | PAP adjustment set,df,302386,0
supplementary_table_1,Partisanship | Other | PAP adjustment set,estimate,0.000,3
supplementary_table_1,Partisanship | Other | PAP adjustment set,p_value,0.985,3
supplementary_table_1,Partisanship | Other | PAP adjustment set,se,0.003,3
supplementary_table_1,Partisanship | Other | PAP adjustment set,t,-0.019,3
supplementary_table_1,Partisanship | Other | Unadjusted,ci_lower,-0.007,3
supplementary_table_1,Partisanship | Other | Unadjusted,ci_upper,0.007,3
supplementary_table_1,Partisanship | Other | Unadjusted,df,302389,0
supplementary_table_1,Partisanship | Other | Unadjusted,estimate,0.000,3
supplementary_table_1,Partisanship | Other | Unadjusted,p_value,0.990,3
supplementary_table_1,Partisanship | Other | Unadjusted,se,0.003,3
supplementary_table_1,Partisanship | Other | Unadjusted,t,-0.013,3
supplementary_table_1,Partisanship | Republican | Full adjustment set,ci_lower,-0.020,3
supplementary_table_1,Partisanship | Republican | Full adjustment set,ci_upper,-0.001,3
supplementary_table_1,Partisanship | Republican | Full adjustment set,df,71844,0
supplementary_table_1,Partisanship | Republican | Full adjustment set,estimate,-0.010,3
supplementary_table_1,Partisanship | Republican | Full adjustment set,p_value,0.034,3
supplementary_table_1,Partisanship | Republican | Full adjustment set,se,0.005,3
supplementary_table_1,Partisanship | Republican | Full adjustment set,t,-2.123,3
supplementary_table_1,Partisanship | Republican | PAP adjustment set,ci_lower,-0.019,3
supplementary_table_1,Partisanship | Republican | PAP adjustment set,ci_upper,0.000,3
supplementary_table_1,Partisanship | Republican | PAP adjustment set,df,71870,0
supplementary_table_1,Partisanship | Republican | PAP adjustment set,estimate,-0.010,3
supplementary_table_1,Partisanship | Republican | PAP adjustment set,p_value,0.045,3
supplementary_table_1,Partisanship | Republican | PAP adjustment set,se,0.005,3
supplementary_table_1,Partisanship | Republican | PAP adjustment set,t,-2.003,3
supplementary_table_1,Partisanship | Republican | Unadjusted,ci_lower,-0.019,3
supplementary_table_1,Partisanship | Republican | Unadjusted,ci_upper,0.001,3
supplementary_table_1,Partisanship | Republican | Unadjusted,df,71873,0
supplementary_table_1,Partisanship | Republican | Unadjusted,estimate,-0.009,3
supplementary_table_1,Partisanship | Republican | Unadjusted,p_value,0.084,3
supplementary_table_1,Partisanship | Republican | Unadjusted,se,0.005,3
supplementary_table_1,Partisanship | Republican | Unadjusted,t,-1.729,3
