float,row_key,quantity,value_paper,digits
figure_1,Age (years) | 18–39 | Full adjustment set,estimate,-0.001,3
table_1,Female Black Other,p_treat,0.854,3
table_1,Female Black Other,treatment_n,26783,0
table_1,Female Black Other,voting_rate_control,51.4,1
table_1,Female Black Other,voting_rate_treatment,51.2,1
table_1,Female Latinx 18–24,control_n,4831,0
table_1,Female Latinx 18–24,p_treat,0.668,3
table_1,Female Latinx 18–24,treatment_n,9741,0
table_1,Female Latinx 18–24,voting_rate_control,52.2,1
table_1,Female Latinx 18–24,voting_rate_treatment,51.7,1
table_1,Female Latinx 25–34,control_n,3074,0
table_1,Female Latinx 25–34,p_treat,0.827,3
table_1,Female Latinx 25–34,treatment_n,14743,0
table_1,Female Latinx 25–34,voting_rate_control,46.0,1
table_1,Female Latinx 25–34,voting_rate_treatment,45.0,1
table_1,Female Latinx Other,control_n,2727,0
table_1,Female Latinx Other,p_treat,0.907,3
table_1,Female Latinx Other,treatment_n,26699,0
table_1,Female Latinx Other,voting_rate_control,50.7,1
table_1,Female Latinx Other,voting_rate_treatment,50.8,1
table_1,Female Other 18–24,control_n,60999,0
table_1,Female Other 18–24,p_treat,0.695,3
table_1,Female Other 18–24,treatment_n,139081,0
table_1,Female Other 18–24,voting_rate_control,66.0,1
table_1,Female Other 18–24,voting_rate_treatment,66.2,1
table_1,Female Other 25–34,control_n,34406,0
table_1,Female Other 25–34,p_treat,0.865,3
table_1,Female Other 25–34,treatment_n,219742,0
table_1,Female Other 25–34,voting_rate_control,57.0,1
table_1,Female Other 25–34,voting_rate_treatment,57.0,1
table_1,Female Other Other,control_n,19998,0
table_1,Female Other Other,p_treat,0.950,3
table_1,Female Other Other,treatment_n,383115,0
table_1,Female Other Other,voting_rate_control,62.8,1
table_1,Female Other Other,voting_rate_treatment,62.5,1
table_1,Other Black 18–24,control_n,14004,0
table_1,Other Black 18–24,p_treat,0.644,3
table_1,Other Black 18–24,treatment_n,25313,0
table_1,Other Black 18–24,voting_rate_control,36.9,1
table_1,Other Black 18–24,voting_rate_treatment,36.9,1
table_1,Other Black 25–34,control_n,11122,0
table_1,Other Black 25–34,p_treat,0.801,3
table_1,Other Black 25–34,treatment_n,44850,0
table_1,Other Black 25–34,voting_rate_control,27.8,1
table_1,Other Black 25–34,voting_rate_treatment,28.1,1
table_1,Other Black Other,control_n,9501,0
table_1,Other Black Other,p_treat,0.880,3
table_1,Other Black Other,treatment_n,69871,0
table_1,Other Black Other,voting_rate_control,36.7,1
table_1,Other Black Other,voting_rate_treatment,36.9,1
table_1,Other Latinx 18–24,control_n,11145,0
table_1,Other Latinx 18–24,p_treat,0.680,3
table_1,Other Latinx 18–24,treatment_n,23709,0
table_1,Other Latinx 18–24,voting_rate_control,39.3,1
table_1,Other Latinx 18–24,voting_rate_treatment,39.2,1
table_1,Other Latinx 25–34,control_n,5974,0
table_1,Other Latinx 25–34,p_treat,0.852,3
table_1,Other Latinx 25–34,treatment_n,34290,0
table_1,Other Latinx 25–34,voting_rate_control,33.1,1
table_1,Other Latinx 25–34,voting_rate_treatment,33.1,1
table_1,Other Latinx Other,control_n,2835,0
table_1,Other Latinx Other,p_treat,0.933,3
table_1,Other Latinx Other,treatment_n,39268,0
table_1,Other Latinx Other,voting_rate_control,42.6,1
table_1,Other Latinx Other,voting_rate_treatment,42.0,1
table_1,Other Other 18–24,control_n,60726,0
table_1,Other Other 18–24,p_treat,0.714,3
table_1,Other Other 18–24,treatment_n,151473,0
table_1,Other Other 18–24,voting_rate_control,57.9,1
table_1,Other Other 18–24,voting_rate_treatment,57.8,1
table_1,Other Other 25–34,control_n,28067,0
table_1,Other Other 25–34,p_treat,0.890,3
table_1,Other Other 25–34,treatment_n,227248,0
table_1,Other Other 25–34,voting_rate_control,48.3,1
table_1,Other Other 25–34,voting_rate_treatment,48.1,1
table_1,Other Other Other,control_n,5781,0
table_1,Other Other Other,p_treat,0.978,3
table_1,Other Other Other,treatment_n,256064,0
table_1,Other Other Other,voting_rate_control,57.9,1
table_1,Other Other Other,voting_rate_treatment,58.6,1
table_1,Total,control_n,287735,0
table_1,Total,p_treat,0.856,3
table_1,Total,treatment_n,1711547,0
