outcome,outcome_label,condition,tss_round,estimate,std.error,conf.low,conf.high,conf.high.clipped,df
voted_in_2020,Voted,control,46,0.5268626522180451,0.008050763180721385,0.5110809213393428,0.5426443830967473,0.5426443830967473,7565
voted_in_2020,Voted,control,47,0.5428817383218353,0.008877394245617712,0.5254789989194995,0.5602844777241711,0.5602844777241711,6257
voted_in_2020,Voted,control,48,0.548533654907885,0.007904876992870999,0.5330379141758618,0.5640293956399082,0.5640293956399082,7604
voted_in_2020,Voted,control,49,0.5414946633390713,0.009087442459712087,0.5236800990918933,0.5593092275862492,0.5593092275862492,6153
voted_in_2020,Voted,control,50,0.544361755372899,0.008046809407797971,0.5285877749867689,0.5601357357590291,0.5601357357590291,7565
voted_in_2020,Voted,control,51,0.5455292665750888,0.008708352186240527,0.528457918671931,0.5626006144782466,0.5626006144782466,6278
voted_in_2020,Voted,control,52,0.5317118157159256,0.00816777406933066,0.5157006836272493,0.547722947804602,0.547722947804602,7485
voted_in_2020,Voted,control,53,0.5429363704052067,0.008881343282834547,0.5255258846823795,0.5603468561280339,0.5603468561280339,6248
voted_in_2020,Voted,control,54,0.5533555575475779,0.008370423488416875,0.5369470983048356,0.5697640167903203,0.5697640167903203,7273
voted_in_2020,Voted,control,55,0.5631435312516926,0.008960787286974303,0.5455772087408511,0.580709853762534,0.580709853762534,6071
voted_in_2020,Voted,control,56,0.5429138610037098,0.008277222400891187,0.5266881471366077,0.5591395748708118,0.5591395748708118,7394
voted_in_2020,Voted,control,57,0.5500411821526587,0.00929960880882935,0.5318105895947816,0.5682717747105359,0.5682717747105359,5973
voted_in_2020,Voted,control,58,0.5468423582505634,0.008466562076645916,0.5302453970514814,0.5634393194496453,0.5634393194496453,7163
voted_in_2020,Voted,control,59,0.5356196199835319,0.009372740060698834,0.5172456780397319,0.553993561927332,0.553993561927332,5996
voted_in_2020,Voted,control,60,0.5610036904143926,0.008441421736663915,0.5444560623067355,0.5775513185220497,0.5775513185220497,7295
voted_in_2020,Voted,control,61,0.5503537744774507,0.009145996530105375,0.5324244260731862,0.5682831228817152,0.5682831228817152,6157
voted_in_2020,Voted,control,62,0.5622732612157495,0.008405928927841881,0.5457952396737618,0.5787512827577372,0.5787512827577372,7377
voted_in_2020,Voted,control,63,0.5656603634950957,0.009540941856665331,0.5469566582509306,0.5843640687392608,0.5843640687392608,5953
voted_in_2020,Voted,control,64,0.5580044125951523,0.008345349532090183,0.5416451908109025,0.5743636343794022,0.5743636343794022,7508
voted_in_2020,Voted,control,65,0.5544570812837117,0.009326155990306445,0.5361745255911631,0.5727396369762604,0.5727396369762604,6103
voted_in_2020,Voted,control,66,0.5680673736973381,0.008523103174642128,0.5513596541886355,0.5847750932060406,0.5847750932060406,7369
voted_in_2020,Voted,control,67,0.5578717395292777,0.00927724962875381,0.5396851134251978,0.5760583656333577,0.5760583656333577,6199
voted_in_2020,Voted,control,68,0.5807612571846142,0.00833954156795643,0.5644134318229024,0.5971090825463261,0.5971090825463261,7540
voted_in_2020,Voted,control,69,0.5637821526984088,0.009373734335758855,0.5454063194835675,0.5821579859132501,0.5821579859132501,6091
voted_in_2020,Voted,control,70,0.5821637654647113,0.011399201613612103,0.5598150486278982,0.6045124823015243,0.6,4042
voted_in_2020,Voted,treat,30,0.5373865467374321,0.0030101722420558296,0.5314864616978557,0.5432866317770085,0.5432866317770085,27911
voted_in_2020,Voted,treat,31,0.5429318424250943,0.0024682315462966507,0.5380940561885865,0.5477696286616021,0.5477696286616021,41440
voted_in_2020,Voted,treat,32,0.5400378427297062,0.002258192814582398,0.5356117580460737,0.5444639274133387,0.5444639274133387,49559
voted_in_2020,Voted,treat,33,0.532469605410795,0.0025014786627306947,0.5275666507058275,0.5373725601157625,0.5373725601157625,40475
voted_in_2020,Voted,treat,34,0.5384613558658581,0.002277828223502004,0.5339967836952828,0.5429259280364334,0.5429259280364334,48731
voted_in_2020,Voted,treat,35,0.5356907603689093,0.002527023744173812,0.5307377336031767,0.5406437871346419,0.5406437871346419,39639
voted_in_2020,Voted,treat,36,0.5337767713592778,0.0022936763911816645,0.5292811351661637,0.5382724075523919,0.5382724075523919,48122
voted_in_2020,Voted,treat,37,0.5404018056365525,0.00253444397417158,0.5354342338319885,0.5453693774411165,0.5453693774411165,39325
voted_in_2020,Voted,treat,38,0.5373027765272473,0.002310734290653333,0.5327737048039248,0.5418318482505698,0.5418318482505698,47365
voted_in_2020,Voted,treat,39,0.5286293334761493,0.002568392171753171,0.5235952187539227,0.5336634481983759,0.5336634481983759,38426
voted_in_2020,Voted,treat,40,0.5365298126671523,0.002328941080548394,0.5319650535560047,0.5410945717782999,0.5410945717782999,46636
voted_in_2020,Voted,treat,41,0.5409092003915452,0.0025736242434747157,0.5358648294238706,0.5459535713592198,0.5459535713592198,38126
voted_in_2020,Voted,treat,42,0.5335142557438667,0.00233326992608247,0.5289410116609792,0.5380874998267542,0.5380874998267542,46491
voted_in_2020,Voted,treat,43,0.5340279790925939,0.002599084326678849,0.5289337028279667,0.5391222553572211,0.5391222553572211,37462
voted_in_2020,Voted,treat,44,0.5342515955895593,0.00234940241716747,0.5296467298899722,0.5388564612891463,0.5388564612891463,45844
voted_in_2020,Voted,treat,45,0.5340828429982116,0.002610274915497994,0.528966631436198,0.5391990545602252,0.5391990545602252,37139
voted_in_2020,Voted,treat,46,0.5320971165755677,0.0023646699036139977,0.5274623248189734,0.536731908332162,0.536731908332162,45273
voted_in_2020,Voted,treat,47,0.5419551568784905,0.0026213582802243163,0.5368172197297446,0.5470930940272364,0.5470930940272364,36726
voted_in_2020,Voted,treat,48,0.5423810329370327,0.0023752539092591835,0.5377254948731301,0.5470365710009352,0.5470365710009352,44740
voted_in_2020,Voted,treat,49,0.541126617903997,0.0026377085515105637,0.5359566316758348,0.5462966041321591,0.5462966041321591,36283
voted_in_2020,Voted,treat,50,0.5475571022594241,0.002368963248456648,0.5429138944034995,0.5522003101153488,0.5522003101153488,44885
voted_in_2020,Voted,treat,51,0.5420230735665466,0.0026014780759115274,0.5369241047414597,0.5471220423916334,0.5471220423916334,37293
voted_in_2020,Voted,treat,52,0.5402956080411668,0.002369744572134553,0.5356508690005225,0.5449403470818112,0.5449403470818112,44965
voted_in_2020,Voted,treat,53,0.5471850590167913,0.0026159894871217383,0.5420576452049459,0.5523124728286366,0.5523124728286366,36802
voted_in_2020,Voted,treat,54,0.5465220887521746,0.002362232984433903,0.54189207302413,0.5511521044802191,0.5511521044802191,45137
voted_in_2020,Voted,treat,55,0.5455613526064214,0.0026164426507742813,0.5404330506175828,0.5506896545952599,0.5506896545952599,36810
voted_in_2020,Voted,treat,56,0.5494357385304441,0.0023557357584016382,0.5448184580272716,0.5540530190336167,0.5540530190336167,45340
voted_in_2020,Voted,treat,57,0.5515940524685325,0.0026067510354928743,0.5464847471703901,0.556703357766675,0.556703357766675,36997
voted_in_2020,Voted,treat,58,0.54722314540186,0.002359141378503165,0.5425991896013633,0.5518471012023567,0.5518471012023567,45257
voted_in_2020,Voted,treat,59,0.5570129863972539,0.0025935234969070354,0.5519296087709725,0.5620963640235354,0.5620963640235354,37294
voted_in_2020,Voted,treat,60,0.5537712312717191,0.002347293313357509,0.5491704988175495,0.5583719637258887,0.5583719637258887,45607
voted_in_2020,Voted,treat,61,0.5538467502580147,0.0025882014728513384,0.5487738048152682,0.5589196957007612,0.5589196957007612,37492
voted_in_2020,Voted,treat,62,0.5551229682981109,0.0023142944683849174,0.5505869173071213,0.5596590192891006,0.5596590192891006,46852
voted_in_2020,Voted,treat,63,0.5511498825875583,0.0025497763512304377,0.5461522563457101,0.5561475088294064,0.5561475088294064,38670
voted_in_2020,Voted,treat,64,0.5556110818552981,0.002291803244046349,0.5511191162633962,0.5601030474472,0.5601030474472,47787
voted_in_2020,Voted,treat,65,0.5598613306203511,0.00250565918588416,0.5549501798155224,0.5647724814251799,0.5647724814251799,39883
voted_in_2020,Voted,treat,66,0.5605341784059513,0.0022543228781741723,0.5561156781422251,0.5649526786696776,0.5649526786696776,49239
